Name,Code,CURRENCY,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,Q3 2006,Q2 2006,Q1 2006,Q4 2005
SHN.FOUNTAIN 'A',CN:SFN(P),CH,1.88,2.42,2.53,2.58,2.63,2.74,3.09,3.18,3.04,3.77,2.68,2.94,2.96,3.86,4.14,5.05,5.24,6.26,6.76,7.33,7.54,7.67,10.04,6.18,9.18,4.1,4.1,3.95,2.26,2.53,2.5,2.46,2.28,2.7,2.97,2.85,3.01,3.86,3.86,3.86,3.86,4.05,3.67,4.37,3.83,5.96,6.02,4.08,4.19,3.78,2.48,2.63,3.82,6.86,7.11,7.87,8.9,5.92,2.49,2.63,4.02,1.78,1.64
SHN.FOUNTAIN 'A' - TOTAL ASSETS,CN:SFN(WC02999A),CH,2384293,2363540,2426186,2898703,2927983,2750529,2991697,3025177,2883797,2914357,3082567,2874558,2838983,2847610,2879900,2768276,2747105,2586701,2502223,2506978,2325049,2097680,2180909,1336589,1341597,1359236,1366664,1586698,1592899,1193894,1188654,1143400,1176097,1172622,1319702,1233946,1228180,NA,1256709,1287262,1291878,1286362,1291494,1297317,1313964,1306711,1317039,1328014,1315045,1393920,1387388,1489240,1453500,1473593,1455337,1540803,1371830,1562989,1528294,NA,1559446,1592377,1643880
SHN.FOUNTAIN 'A' - MRKT VALUE TO BOOK,CN:SFN(MTBV),CH,1.6,2.07,2.16,2.2,2.25,2.34,1.98,2.04,1.95,2.42,1.9,2.09,2.1,2.74,3.31,4.04,4.19,5.01,5.58,6.05,6.22,6.33,9.25,4.92,7.31,3.26,5.6,5.39,3.09,3.45,3.66,3.6,3.34,3.95,3.98,3.82,4.03,5.17,5.35,5.35,5.35,5.61,4.88,5.81,5.09,7.92,7.84,5.31,5.45,4.92,3.02,3.2,4.64,8.34,8.66,9.59,10.84,7.21,3.24,3.43,4.06,1.8,1.76
SHN.FOUNTAIN 'A' - MARKET VALUE,CN:SFN(MV),CH,1990.05,2561.66,2678.1,2731.02,2783.95,2900.39,3270.88,3366.15,3217.95,3990.68,2836.88,3112.1,3133.27,4085.95,4382.34,5345.61,5546.73,6626.44,7155.71,7759.07,7981.37,8118.98,10627.71,5650.58,8393.58,3748.77,3748.77,3611.61,2066.39,2313.26,2285.83,2249.26,2084.68,2468.7,2715.57,2605.85,2752.14,3529.33,3529.33,3529.33,3529.33,3703.05,3355.6,3995.64,3501.9,5449.43,5504.29,3730.48,3831.06,3456.18,2267.55,2404.7,3492.75,6272.33,6500.91,7195.8,8137.57,5412.85,2276.69,2404.7,2848.82,1261.42,1162.2
SHN.FOUNTAIN 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SFN(WC08287A),CH,1.663,1.893,1.957,1.786,1.809,1.793,1.813,1.969,1.855,1.981,2.07,2.163,2.134,2.127,2.178,2.186,2.172,2.033,1.951,1.955,1.823,1.837,1.899,2.089,2.075,2.054,2.041,2.676,2.659,1.94,1.904,1.751,1.783,1.743,1.935,1.909,1.947,NA,1.904,1.834,1.806,1.879,1.877,1.921,1.914,1.879,1.875,1.794,1.754,1.844,1.845,1.957,1.923,1.957,1.94,1.928,1.763,2.096,2.178,NA,1.867,2.246,2.49
GUANGHUI LOGISTICS 'A',CN:SXE(P),CH,4.04,4.76,4.83,5.05,4.71,5.76,4.95,5.57,4.52,5.24,4.08,5.7,4.02,5,4.84,6.04,6.03,8.47,7.7,7.24,5.83,6.33,6.29,6.29,8.62,6.93,4.37,5.24,3.64,3.39,2.68,2.77,2.49,2.98,2.26,2.07,2.99,4.76,4.76,4.4,4.22,4.43,3.46,3.78,3.09,4.16,4.39,3.26,4.1,3.01,2.18,1.76,3.76,4.25,4.36,4.23,3.41,2.68,1.17,1.36,1.27,1.08,1.04
GUANGHUI LOGISTICS 'A' - TOTAL ASSETS,CN:SXE(WC02999A),CH,15669762,16942713,16910119,17887362,17074609,16689092,15946529,16262113,14112149,13972082,13111398,11788589,9779827,9669494,9407727,8760189,7446974,6500571,6461504,242388,245915,257199,258374,404498,398430,379985,400343,368939,370789,365266,370722,38530,38383,39675,39883,43378,38644,33113,33552,33465,34033,34027,36029,33884,35585,4304,NA,4399,3065,2861,15941,18116,19041,34156,34724,51818,55892,123261,126640,38409,49763,57454,63556
GUANGHUI LOGISTICS 'A' - MRKT VALUE TO BOOK,CN:SXE(MTBV),CH,0.75,0.88,0.9,0.94,0.88,1.07,0.96,1.08,0.88,1.01,0.8,1.12,0.78,0.96,1.02,1.28,1.27,1.5,1.88,0.66,0.53,0.57,-15.79,-15.79,-21.65,-17.41,39,46.79,32.49,30.25,119.09,122.71,110.71,132.22,-3.08,-2.83,-4.1,-6.51,-6.12,-5.66,-5.43,-5.7,-4.8,-5.24,-4.28,-5.76,-6.2,-4.61,-5.79,-4.25,-3.04,-2.46,-5.24,-5.93,-5.45,-5.29,-4.26,-3.36,-1.15,-1.34,-1.26,-1.07,-0.92
GUANGHUI LOGISTICS 'A' - MARKET VALUE,CN:SXE(MV),CH,5078.39,5983.45,6071.44,6347.98,5934.11,7227.45,6211.09,6989.04,5662.22,6564.17,5111.03,7145.09,4946.3,6152.12,5949.98,7435.28,7413.93,8699.58,7908.71,2763.91,2222.81,2415.51,2397.99,2397.99,3287.5,2643.24,1666.13,1998.97,1387.8,1292.42,1023.82,1054.96,951.8,1136.71,860.32,788.3,1142.55,1816.01,1816.01,1679.76,1611.64,1689.49,1321.62,1442.3,1177.58,1586.33,1675.87,1243.76,1564.92,1148.39,831.12,671.51,1432.56,1621.36,1662.23,1613.57,1300.2,1023.81,445.73,517.74,484.66,412.64,397.07
GUANGHUI LOGISTICS 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SXE(WC08287A),CH,2.32,2.446,2.498,2.859,2.757,2.755,2.465,2.691,2.271,2.151,2.055,1.938,1.628,1.634,1.617,1.552,1.312,1.524,1.538,-1.308,-1.418,-1.581,-1.702,12.294,12.154,10.841,9.371,16.783,39.106,60.237,43.121,-0.134,-0.136,-0.14,-0.143,-0.143,-0.128,-0.11,-0.113,-0.115,-0.119,-0.121,-0.131,-0.126,-0.134,-0.016,NA,-0.016,-0.012,-0.011,-0.058,-0.067,-0.064,-0.113,-0.114,-0.175,-0.146,-0.321,-0.328,-0.09,-0.116,-0.13,-0.147
SHENZHEN PROPS.& RES. DEV.'A',CN:PRP(P),CH,12.16,13.47,12.17,17.86,16,8.31,9.41,9.59,9.55,11.67,9.18,11.62,11.07,16,16.79,19.4,20,16.22,18.73,16.99,13.39,14.23,14.52,10.27,14.9,12.01,9.98,8.26,6.71,7.91,7.81,8.57,7.93,6.17,7.19,6.1,7.48,6.7,6.17,8.2,12.17,7.73,6.83,8.32,8.1,11.75,10.69,11.65,8.02,6.02,3.54,3.35,5.48,7.49,11.51,13.27,10.95,7.83,5.18,5.41,4.77,4.75,4.75
SHENZHEN PROPS.& RES. DEV.'A' - TOTAL ASSETS,CN:PRP(WC02999A),CH,12107433,11406755,11256676,11493334,10282406,10601409,10114339,9934483,8577491,8183978,5300419,4477719,4206646,4562689,5005309,5057371,5541470,5931793,6278359,6324515,5612834,5049097,4139428,3774589,3531656,3599714,3666735,3827760,3400359,3577041,3681660,3577495,3571745,3436810,3812208,3930795,3520731,3427003,3375527,3228425,2932944,2997036,2830104,2853704,2727346,2855773,2782723,2526085,2446024,2430022,2097523,2079583,2078625,1844223,NA,1745126,1711747,1653263,NA,NA,NA,NA,NA
SHENZHEN PROPS.& RES. DEV.'A' - MRKT VALUE TO BOOK,CN:PRP(MTBV),CH,1.94,2.15,1.95,2.86,2.56,1.33,1.78,1.82,1.81,2.21,1.64,2.07,1.98,2.86,3.42,3.96,4.08,3.31,4.63,4.2,3.31,3.52,4.12,2.91,4.23,3.41,2.87,2.37,1.93,2.27,2.58,2.83,2.62,2.04,2.85,2.42,2.97,2.66,3.25,4.32,6.42,4.08,4.66,5.67,5.52,8.01,9.63,10.49,7.22,5.42,3.69,3.5,5.73,7.82,12.12,13.98,11.53,8.24,5.36,5.6,4.94,4.91,4.5
SHENZHEN PROPS.& RES. DEV.'A' - MARKET VALUE,CN:PRP(MV),CH,6425.02,7117.19,6430.3,9436.75,8453.98,4390.78,4972,5067.1,5045.96,6166.12,4850.47,6139.7,5849.09,8453.98,8871.39,10250.45,10567.47,8570.22,9896.44,8977.07,7074.92,7518.75,7671.98,5426.4,7872.77,6345.77,5273.16,4364.36,3545.38,4179.43,4126.59,4528.16,4190,3260.07,3799.01,3223.08,3952.23,3540.1,3260.1,4332.71,6430.36,4084.33,3608.79,4396.07,4279.82,6208.39,5648.31,6153.15,4236.6,3179.85,1868.52,1772.45,2896.45,3958,6081.1,7012.96,5783.29,4135.72,2737.94,2858.02,2521.78,2507.37,2507.37
SHENZHEN PROPS.& RES. DEV.'A' - TOT ASSETS/CMN EQUITY RATIO,CN:PRP(WC08287A),CH,2.911,2.894,3.02,3.674,3.268,3.214,3.213,3.046,2.629,2.395,1.588,1.552,1.488,1.532,1.713,1.757,2.079,2.187,2.605,3.092,2.741,2.403,1.971,1.902,1.791,1.734,1.768,1.936,1.925,1.955,2.042,1.925,1.925,1.976,2.537,3.019,2.872,3.017,2.987,2.733,2.5,2.585,3.237,3.579,3.461,4.298,4.207,3.457,3.613,4.125,3.676,3.814,3.744,3.329,NA,3.055,2.955,2.792,NA,NA,NA,NA,NA
GREENLAND HOLDINGS 'A',CN:JIA(P),CH,5.19,5.32,5.55,6.07,5.89,5.15,6.62,6.72,6.5,7.18,5.82,6.1,6.23,7.06,6.95,7.16,7.45,7.59,8.3,9.15,10.3,12.62,15.55,12.46,23.27,17.4,12.32,9.16,7.59,8.48,5.04,5.04,5.04,5.24,5.91,5.33,7.15,4.26,4.16,5.01,5.83,6.63,5.7,5.61,5.61,7.77,7.28,6.52,7.64,5.37,3.37,3.81,4.4,7.22,8.38,10.11,6.32,6.55,4.51,5.91,2.37,2.32,1.98
GREENLAND HOLDINGS 'A' - TOTAL ASSETS,CN:JIA(WC02999A),CH,1380556282,1400018294,1378761120,1148095023,1154292861,1113720980,1129131854,1025293935,987570830,1066905195,1022405872,939385542,892278912,857901780,837819793,763610596,737923744,749410429,726616454,659759430,612715751,635872975,596462623,572378810,533460399,7490660,7442429,5505094,5615918,5877589,6146722,6063015,6166897,5909330,5945503,5671733,5779250,5386994,5601227,5262566,5204513,4953688,4461709,4238529,4185804,4110992,3854556,3195573,3278871,3186076,2929129,3077239,3293224,2843477,2904053,3111936,2554179,2607029,2742832,2535793,2487152,2586379,2738545
GREENLAND HOLDINGS 'A' - MRKT VALUE TO BOOK,CN:JIA(MTBV),CH,0.78,0.8,0.84,0.91,0.89,0.78,1.1,1.12,1.08,1.19,1.09,1.14,1.17,1.32,1.47,1.51,1.57,1.6,1.95,2.15,2.43,2.97,3.89,3.12,5.82,0.19,3.6,2.67,2.21,2.47,1.25,1.25,1.25,1.3,1.47,1.33,1.78,1.06,1.08,1.3,1.51,1.72,1.61,1.58,1.58,2.19,2.18,1.95,2.29,1.61,1.19,1.35,1.55,2.55,2.71,3.27,2.04,2.11,2,2.62,1.05,1.03,0.93
GREENLAND HOLDINGS 'A' - MARKET VALUE,CN:JIA(MV),CH,66316.38,68019.94,70940.25,77511.06,75199.13,65829.63,84568.63,85907.13,83108.44,91747.81,74347.38,77876.13,79579.69,90165.94,88827.44,91504.5,95154.94,96980.13,105984.6,116935.9,131659.4,161228,198705.9,159159.4,297267.9,9469.7,6707.06,4986.23,4131.01,4613.04,2741.91,2741.91,2741.91,2850.76,3218.76,2902.59,3889.87,2320.1,2265.8,2724.88,3174.09,3610,3103.48,3051.97,3051.97,4230.07,3960.81,3547.17,4155.93,2922.81,1834.07,2076.01,2394.58,3930.66,4562.12,5502.21,3441.1,3562.95,2455.5,3214.36,1287.21,1264.77,1076.88
GREENLAND HOLDINGS 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:JIA(WC08287A),CH,15.265,15.216,16.263,14.215,15.276,14.446,14.683,13.625,13.548,14.702,15.012,14.703,14.3,13.388,13.842,13.114,13.171,13.118,13.389,12.219,11.715,12.058,11.678,11.393,11.029,4.134,3.99,2.805,2.874,2.719,2.81,2.833,2.857,2.685,2.721,2.719,2.701,2.543,2.67,2.611,2.595,2.525,2.309,2.328,2.318,2.268,2.121,1.9,1.953,1.984,1.898,2.039,2.13,1.822,1.724,2.428,2.02,2.145,2.237,2.147,2.123,2.216,2.363
SHANGHAI SHIBEI HI- TECH 'A',CN:SEC(P),CH,5.8,6.1,6.6,7.52,9.41,6.96,8.86,8.75,13.28,14.37,7.71,4.02,4.74,6.77,7.2,8.35,7.15,9.29,10.33,10.06,12,15.04,17.19,10.29,8.64,8.85,5.57,6.2,5.21,4.8,4.75,4.3,3.72,4.75,3.58,3.66,3.52,3.38,3.38,3.54,3.11,3.47,3.03,3.74,3.24,4.26,3.65,2.93,3.62,2.24,1.4,1.42,1.64,2.73,4.33,4.72,3.03,2.92,1.58,1.64,1.63,1.34,1.74
SHANGHAI SHIBEI HI- TECH 'A' - TOTAL ASSETS,CN:SEC(WC02999A),CH,19638045,19202870,19057353,18705078,19355636,19476410,18191701,16984449,17302906,16049919,16317336,13314960,12104668,11947932,12675630,13011964,12923344,12478651,12810504,11685154,10523522,9446739,8793814,7171283,6780181,3893791,3289100,2748248,2276724,2202805,2162446,1687085,1522162,1514608,1575702,1510172,481359,822172,836264,826548,813957,815053,841438,892859,883968,928729,925023,1045961,696808,739473,796432,934889,999893,960500,1033127,1195619,1202969,1140673,NA,NA,NA,NA,NA
SHANGHAI SHIBEI HI- TECH 'A' - MRKT VALUE TO BOOK,CN:SEC(MTBV),CH,1.68,1.77,1.91,2.18,2.73,2.02,2.64,2.61,3.96,4.29,2.36,1.23,1.45,2.08,2.29,2.66,2.27,2.95,3.41,3.32,2.97,3.72,9.06,5.42,6.15,2.95,4.9,5.46,4.58,4.23,4.17,3.77,3.27,4.17,3.58,3.66,3.51,3.37,22.62,23.72,20.84,23.22,20.14,24.89,21.57,28.35,15.43,12.41,15.31,9.49,4.31,4.37,5.06,8.4,12.05,13.13,8.43,8.13,2.97,3.09,3.08,2.53,2.97
SHANGHAI SHIBEI HI- TECH 'A' - MARKET VALUE,CN:SEC(MV),CH,8163.24,8585.47,9289.2,10584.06,13244.15,9795.88,12470.05,12315.23,18691,20225.13,10851.47,5657.96,6671.33,9528.46,10133.67,11752.25,10063.3,13075.25,14546.04,14158.99,12656.93,15868.62,18131.05,10858.58,12315.25,5903.38,3715.46,4139.03,3475.32,3205.17,3171.81,2868.31,2484.75,3168.48,2391.37,2444.73,2348.01,2254.62,2254.62,2364.69,2077.86,2314.66,2021.16,2498.1,2164.57,2844.96,2434.73,1957.79,2414.71,1497.52,933.87,947.21,1097.29,1821.04,2891.65,3151.8,2024.49,1951.11,1053.94,1093.96,1090.62,897.18,1164
SHANGHAI SHIBEI HI- TECH 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SEC(WC08287A),CH,3.098,3.012,2.946,2.964,3.049,3.024,2.899,2.789,2.849,2.621,2.672,2.255,2.053,2.031,2.152,2.266,2.255,2.204,2.256,2.046,3.574,3.247,3.047,2.621,2.974,3.051,2.554,2.143,1.764,1.704,1.675,1.383,1.3,1.318,1.388,1.443,3.085,4.958,4.94,5.043,4.646,4.979,4.937,3.814,3.699,3.514,3.452,3.395,1.967,2.035,2.162,2.4,2.388,2.463,2.534,1.86,1.861,1.893,NA,NA,NA,NA,NA
SHN.ZHENYE (GROUP) 'A',CN:ZHN(P),CH,5.01,5.38,5.61,6.43,6.81,4.48,5.36,5.03,5.45,6.75,5.18,5.7,5.86,7.37,9.85,9.85,8.81,8.28,9.45,9.66,7.37,8.3,11.51,9.4,13.57,8.8,7.05,5.86,4.58,5.39,4.93,4.62,4.26,4.29,4.71,3.82,4.18,4.04,3,3.71,4.26,4.42,3.93,4.16,2.91,4.5,4.26,3.68,4.96,3.38,1.85,1.87,2.89,4.6,4.91,6.67,4.68,2.67,2.52,1.62,1.49,1.21,0.8
SHN.ZHENYE (GROUP) 'A' - TOTAL ASSETS,CN:ZHN(WC02999A),CH,18148650,15583882,14962985,14914200,14502959,14908658,15316731,15047142,15143545,13646652,13178041,12140282,11775923,10823936,12823368,13002380,12819999,13069382,12898142,13640502,12849207,12532694,12461393,12147040,11536997,11945379,11486044,11294549,10778491,9922760,9761953,10543064,10096332,9578028,9117379,8738967,8202615,8066035,8113456,7469656,7769001,7875823,8407208,7867754,7387225,7527669,7130850,7446953,7234064,6688048,5856521,6090494,6146905,5711499,5578979,4831294,3226928,3200948,2925661,NA,2409196,2607023,2556524
SHN.ZHENYE (GROUP) 'A' - MRKT VALUE TO BOOK,CN:ZHN(MTBV),CH,0.92,0.99,1.03,1.18,1.25,0.82,1.07,1.01,1.09,1.35,1.13,1.24,1.28,1.61,2.39,2.39,2.14,2.01,2.55,2.61,1.99,2.24,3.54,2.89,4.17,2.7,2.3,1.91,1.5,1.76,1.63,1.52,1.41,1.41,1.84,1.49,1.63,1.58,1.45,1.79,2.05,2.13,2.16,2.29,1.6,2.47,2.73,2.36,3.18,2.17,1.56,1.58,2.44,3.87,3.83,5.2,3.65,2.08,2.67,1.71,1.58,1.28,0.98
SHN.ZHENYE (GROUP) 'A' - MARKET VALUE,CN:ZHN(MV),CH,6763.47,7262.97,7573.47,8680.46,9193.46,6047.97,7235.97,6790.47,7357.47,9112.46,6992.97,7694.96,7910.96,9949.46,13297.45,13297.45,11893.45,11177.95,12757.45,13040.95,9949.46,11204.95,15538.44,12689.95,18319.43,11879.95,9517.46,7910.96,6182.97,7276.47,6655.47,6236.97,5750.97,5785.69,6364.25,5155.69,5647.23,5449.43,4054.93,5004.38,5746.13,5964.47,5302.59,5622.12,3925.6,6070.98,5746.38,4965.32,6694.81,4564.64,2500.41,2530.84,3905.31,6205.39,6631.43,9002.51,6314.43,3611.15,3400.67,2183.43,2013.52,1635.67,1082.84
SHN.ZHENYE (GROUP) 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:ZHN(WC08287A),CH,2.422,2.041,2.032,2.128,2.159,2.172,2.274,2.356,2.467,2.163,2.126,2.084,2.052,1.849,2.303,2.549,2.558,2.558,2.577,3.139,2.966,2.822,2.837,2.857,2.725,2.755,2.778,2.883,2.775,2.427,2.385,2.805,2.751,2.702,2.638,2.784,2.625,2.77,2.899,2.779,3.044,3.149,3.419,3.76,3.668,3.517,3.384,3.95,3.929,3.786,3.656,3.576,3.515,2.925,3.221,3.554,2.469,2.412,2.297,NA,1.959,2.291,2.318
SHAHE INDUSTRY 'A',CN:HUY(P),CH,7.75,8.07,8.28,10.49,10.82,7.82,9.31,9.4,9.63,12.33,9.29,10.6,15.33,12.3,10.78,16.75,16.84,18.15,20.79,21.44,18.52,18.07,22.81,16.1,23.97,20.55,13.8,15.19,10.04,9.9,10.26,10.64,8.4,8.88,8.48,8.33,9.7,5.28,4.9,6.15,7.98,10.07,9.19,10.8,9.83,13.8,15.5,13.4,14.81,11.38,7.36,5.82,10.05,9.79,12.84,12.83,9.99,7.53,4.82,4.52,3.43,2.8,2.95
SHAHE INDUSTRY 'A' - TOTAL ASSETS,CN:HUY(WC02999A),CH,2494713,2343174,2403647,2141550,1939312,2002798,1947115,1941441,1914976,1974678,1889750,1757127,1583357,1519485,1464171,1452118,1501083,1664061,1814854,2103533,2077077,2124194,2107585,2061932,2040407,2082783,2160939,2129972,2047614,1836504,1806592,1830777,1892279,2043800,1958349,1739868,1732175,1726833,1751845,1546521,1516615,1473056,1543545,1633234,1560512,1489445,1718125,1702093,1572813,1576916,1655466,1312269,1253004,1164770,1101595,1070383,1010330,1003361,1028028,1058432,946126,1080107,1001568
